step,rl_x,rl_y
258,-4.48239,2.86492
259,-4.43908,2.77482
260,-4.39395,2.68556
261,-4.34718,2.59748
262,-4.29868,2.51041
263,-4.24843,2.42431
264,-4.19661,2.33944
265,-4.14299,2.25543
266,-4.08759,2.17231
267,-4.03056,2.0903
268,-3.97197,2.0095
269,-3.91181,1.92992
270,-3.8499,1.85131
271,-3.78637,1.77387
272,-3.72131,1.6977
273,-3.65508,1.62324
274,-3.58718,1.5499
275,-3.51781,1.47791
276,-3.44691,1.4072
277,-3.37455,1.33787
278,-3.30083,1.27
279,-3.22586,1.2037
280,-3.14959,1.13891
281,-3.07197,1.07561
282,-2.99299,1.0138
283,-2.91264,0.95347
284,-2.83163,0.89513
285,-2.74957,0.8385
286,-2.66643,0.78354
287,-2.582,0.73014
288,-2.49638,0.67835
289,-2.40979,0.62829
290,-2.32232,0.58003
291,-2.23393,0.53355
292,-2.14453,0.48882
293,-2.05411,0.44584
294,-1.96292,0.40472
295,-1.87085,0.36538
296,-1.77811,0.32793
297,-1.68452,0.29228
298,-1.59005,0.25843
299,-1.49505,0.22652
300,-1.39964,0.19657
