step,ekf_x,ekf_y,theta_deg,sigma_xx,sigma_yy,sigma_yaw,event,obs_landmark,obs_range_m,obs_bearing_deg,sigma_xx_before,sigma_xx_after
76,5.0425,4.6929,87.06,0.000198,,,obs_L3,3,4.733,-137.18,0.000199,0.000198
76,5.0426,4.6924,87.05,0.000194,,,obs_L4,4,3.391,3.87,0.000198,0.000194
77,5.0477,4.7919,88.2,0.000203,0.000259,4.8e-05,predict,,,,,
77,5.0477,4.792,88.2,0.000202,,,obs_L0,0,3.466,-214.36,0.000203,0.000202
77,5.048,4.7929,88.21,0.000199,,,obs_L1,1,1.273,-128.66,0.000202,0.000199
77,5.0474,4.7925,88.23,0.000196,,,obs_L2,2,3.747,54.92,0.000199,0.000196
77,5.0473,4.7926,88.22,0.000196,,,obs_L3,3,4.83,-139.97,0.000196,0.000196
77,5.048,4.7928,88.2,0.000192,,,obs_L4,4,3.18,3.49,0.000196,0.000192
78,5.0511,4.8929,89.34,0.0002,0.000265,4.8e-05,predict,,,,,
78,5.0509,4.8923,89.36,0.000199,,,obs_L0,0,3.486,-215.5,0.0002,0.000199
78,5.0506,4.8919,89.35,0.000197,,,obs_L1,1,1.318,-132.07,0.000199,0.000197
78,5.0507,4.8915,89.35,0.000194,,,obs_L2,2,3.789,55.75,0.000197,0.000194
78,5.0506,4.8918,89.36,0.000194,,,obs_L3,3,4.941,-142.26,0.000194,0.000194
78,5.0509,4.8919,89.35,0.000189,,,obs_L4,4,3.096,2.03,0.000194,0.000189
79,5.052,4.9928,90.5,0.000198,0.000273,4.8e-05,predict,,,,,
79,5.0521,4.9928,90.51,0.000197,,,obs_L0,0,3.663,-215.81,0.000198,0.000197
79,5.0516,4.9924,90.51,0.000195,,,obs_L1,1,1.45,-136.09,0.000197,0.000195
79,5.0515,4.9926,90.5,0.000192,,,obs_L2,2,3.618,56.39,0.000195,0.000192
79,5.0515,4.9927,90.5,0.000192,,,obs_L3,3,4.991,-143.94,0.000192,0.000192
79,5.0512,4.9929,90.51,0.000187,,,obs_L4,4,2.977,0.04,0.000192,0.000187
80,5.0503,5.0923,91.67,0.000196,0.000282,4.8e-05,predict,,,,,
80,5.0503,5.0925,91.66,0.000195,,,obs_L0,0,3.711,-214.5,0.000196,0.000195
80,5.0503,5.0929,91.66,0.000193,,,obs_L1,1,1.478,-140.94,0.000195,0.000193
80,5.0497,5.092,91.69,0.000191,,,obs_L2,2,3.633,54.71,0.000193,0.000191
80,5.0489,5.0916,91.71,0.000186,,,obs_L4,4,2.962,-1.7,0.000191,0.000186
81,5.0459,5.1911,92.87,0.000195,0.000293,4.8e-05,predict,,,,,
81,5.0459,5.1908,92.88,0.000194,,,obs_L0,0,3.777,-216.09,0.000195,0.000194
81,5.0458,5.19,92.87,0.000193,,,obs_L1,1,1.465,-143.58,0.000194,0.000193
81,5.0459,5.1903,92.86,0.00019,,,obs_L2,2,3.517,56.74,0.000193,0.00019
81,5.0461,5.1903,92.86,0.000185,,,obs_L4,4,2.802,-1.6,0.00019,0.000185
82,5.0411,5.2908,93.99,0.000194,0.000304,4.9e-05,predict,,,,,
82,5.0411,5.2906,94.0,0.000193,,,obs_L0,0,3.881,-216.47,0.000194,0.000193
82,5.0411,5.2912,94.01,0.000192,,,obs_L1,1,1.662,-147.75,0.000193,0.000192
82,5.0407,5.2914,94.02,0.000189,,,obs_L2,2,3.408,56.52,0.000192,0.000189
82,5.0411,5.2909,94.0,0.000184,,,obs_L4,4,2.78,-2.6,0.000189,0.000184
83,5.0341,5.3912,95.15,0.000193,0.000316,4.9e-05,predict,,,,,
83,5.0341,5.391,95.16,0.000193,,,obs_L0,0,3.941,-216.24,0.000193,0.000193
83,5.0337,5.3902,95.14,0.000192,,,obs_L1,1,1.681,-149.24,0.000193,0.000192
83,5.034,5.3903,95.13,0.000189,,,obs_L2,2,3.452,57.27,0.000192,0.000189
83,5.0341,5.3899,95.13,0.000184,,,obs_L4,4,2.656,-4.22,0.000189,0.000184
84,5.0252,5.4899,96.3,0.000193,0.000327,5e-05,predict,,,,,
84,5.0251,5.4899,96.3,0.000192,,,obs_L0,0,4.027,-216.46,0.000193,0.000192
84,5.0252,5.4899,96.3,0.000191,,,obs_L1,1,1.781,-153.18,0.000192,0.000191
84,5.0254,5.4899,96.29,0.000189,,,obs_L2,2,3.416,57.33,0.000191,0.000189
84,5.0254,5.4896,96.29,0.000183,,,obs_L4,4,2.542,-5.72,0.000189,0.000183
85,5.0144,5.5889,97.43,0.000192,0.000337,5e-05,predict,,,,,
85,5.0144,5.5887,97.45,0.000192,,,obs_L0,0,4.124,-217.82,0.000192,0.000192
85,5.0142,5.589,97.45,0.000191,,,obs_L1,1,1.92,-155.49,0.000192,0.000191
85,5.0138,5.5879,97.48,0.000189,,,obs_L2,2,3.376,55.94,0.000191,0.000189
85,5.0138,5.5871,97.48,0.000183,,,obs_L4,4,2.51,-7.14,0.000189,0.000183
86,5.0008,5.6858,98.61,0.000192,0.000348,5e-05,predict,,,,,
86,5.001,5.6861,98.62,0.000192,,,obs_L0,0,4.257,-217.6,0.000192,0.000192
86,5.001,5.6868,98.63,0.000191,,,obs_L1,1,1.997,-158.64,0.000192,0.000191
86,5.0014,5.6877,98.6,0.000189,,,obs_L2,2,3.242,59.03,0.000191,0.000189
86,5.0016,5.6878,98.6,0.000183,,,obs_L4,4,2.297,-8.38,0.000189,0.000183
87,4.9866,5.7866,99.75,0.000192,0.000357,5e-05,predict,,,,,
87,4.9867,5.7871,99.74,0.000192,,,obs_L0,0,4.325,-217.06,0.000192,0.000192
87,4.9867,5.7871,99.74,0.000191,,,obs_L1,1,2.067,-160.01,0.000192,0.000191
87,4.9872,5.7867,99.73,0.000189,,,obs_L2,2,3.342,58.26,0.000191,0.000189
87,4.9878,5.7866,99.71,0.000182,,,obs_L4,4,2.218,-9.43,0.000189,0.000182
88,4.9709,5.8853,100.87,0.000191,0.000367,5e-05,predict,,,,,
88,4.971,5.886,100.86,0.000191,,,obs_L0,0,4.417,-217.01,0.000191,0.000191
88,4.971,5.8867,100.87,0.000191,,,obs_L1,1,2.185,-162.92,0.000191,0.000191
88,4.9712,5.886,100.87,0.000189,,,obs_L2,2,3.252,58.03,0.000191,0.000189
88,4.9708,5.886,100.88,0.000182,,,obs_L4,4,2.124,-12.09,0.000189,0.000182
89,4.9519,5.9842,102.05,0.000191,0.000375,5e-05,predict,,,,,
89,4.9519,5.9842,102.04,0.000191,,,obs_L0,0,4.438,-217.86,0.000191,0.000191
89,4.9518,5.9843,102.04,0.00019,,,obs_L1,1,2.265,-163.95,0.000191,0.00019
89,4.9523,5.9843,102.03,0.000188,,,obs_L2,2,3.2,59.37,0.00019,0.000188
89,4.9528,5.9844,102.01,0.000181,,,obs_L4,4,1.999,-12.82,0.000188,0.000181
90,4.932,6.082,103.19,0.000191,0.000382,5e-05,predict,,,,,
90,4.9321,6.0824,103.2,0.000191,,,obs_L0,0,4.58,-219.12,0.000191,0.000191
90,4.9319,6.0825,103.19,0.00019,,,obs_L1,1,2.375,-165.6,0.000191,0.00019
90,4.9322,6.0833,103.17,0.000188,,,obs_L2,2,3.054,60.35,0.00019,0.000188
90,4.9322,6.0834,103.17,0.00018,,,obs_L4,4,1.907,-15.14,0.000188,0.00018
91,4.9094,6.181,104.31,0.00019,0.000389,5e-05,predict,,,,,
91,4.9094,6.181,104.31,0.00019,,,obs_L0,0,4.59,-218.78,0.00019,0.00019
91,4.9096,6.1809,104.32,0.000189,,,obs_L1,1,2.388,-168.54,0.00019,0.000189
91,4.9099,6.1803,104.32,0.000188,,,obs_L2,2,3.1,59.57,0.000189,0.000188
91,4.9086,6.1811,104.35,0.000179,,,obs_L4,4,1.768,-18.42,0.000188,0.000179
92,4.8839,6.2774,105.51,0.000189,0.000395,5e-05,predict,,,,,
92,4.8839,6.277,105.52,0.000189,,,obs_L0,0,4.645,-219.92,0.000189,0.000189
92,4.8836,6.2776,105.51,0.000188,,,obs_L1,1,2.622,-168.76,0.000189,0.000188
92,4.8838,6.2789,105.48,0.000187,,,obs_L2,2,2.937,61.87,0.000188,0.000187
92,4.8837,6.2785,105.49,0.000178,,,obs_L4,4,1.772,-19.5,0.000187,0.000178
93,4.857,6.3747,106.64,0.000188,0.000399,5e-05,predict,,,,,
93,4.857,6.3741,106.62,0.000188,,,obs_L0,0,4.63,-218.24,0.000188,0.000188
93,4.8573,6.3738,106.63,0.000187,,,obs_L1,1,2.569,-171.83,0.000188,0.000187
93,4.8579,6.3749,106.6,0.000186,,,obs_L2,2,2.975,62.54,0.000187,0.000186
93,4.8583,6.3742,106.59,0.000176,,,obs_L4,4,1.698,-21.3,0.000186,0.000176
94,4.8296,6.4702,107.74,0.000186,0.000403,4.9e-05,predict,,,,,
94,4.8297,6.4707,107.73,0.000186,,,obs_L0,0,4.862,-219.45,0.000186,0.000186
94,4.8295,6.471,107.73,0.000185,,,obs_L1,1,2.775,-172.2,0.000186,0.000185
94,4.8296,6.471,107.73,0.000184,,,obs_L2,2,2.882,61.7,0.000185,0.000184
94,4.8293,6.4715,107.73,0.000174,,,obs_L4,4,1.498,-24.31,0.000184,0.000174
95,4.799,6.5663,108.86,0.000184,0.000405,4.9e-05,predict,,,,,
95,4.7989,6.5656,108.86,0.000184,,,obs_L0,0,4.825,-220.39,0.000184,0.000184
95,4.7991,6.5653,108.87,0.000183,,,obs_L1,1,2.787,-174.41,0.000184,0.000183
95,4.7993,6.5661,108.85,0.000182,,,obs_L2,2,2.84,63.18,0.000183,0.000182
95,4.7983,6.5662,108.88,0.000171,,,obs_L4,4,1.491,-27.82,0.000182,0.000171
96,4.766,6.6606,110.04,0.000181,0.000406,4.9e-05,predict,,,,,
96,4.766,6.6604,110.03,0.000181,,,obs_L0,0,4.937,-220.2,0.000181,0.000181
96,4.7661,6.6599,110.03,0.000181,,,obs_L1,1,2.887,-175.26,0.000181,0.000181
96,4.7662,6.6594,110.04,0.000179,,,obs_L2,2,2.813,62.5,0.000181,0.000179
96,4.7652,6.6599,110.06,0.000168,,,obs_L4,4,1.362,-30.74,0.000179,0.000168
97,4.7309,6.7539,111.19,0.000178,0.000406,4.9e-05,predict,,,,,
97,4.731,6.7536,111.19,0.000177,,,obs_L1,1,3.005,-176.26,0.000178,0.000177
97,4.7307,6.7542,111.18,0.000176,,,obs_L2,2,2.662,64.02,0.000177,0.000176
97,4.7311,6.754,111.17,0.000164,,,obs_L4,4,1.27,-33.05,0.000176,0.000164
98,4.6949,6.8473,112.33,0.000174,0.000407,4.9e-05,predict,,,,,
98,4.6948,6.8473,112.31,0.000174,,,obs_L1,1,3.147,-176.92,0.000174,0.000174
98,4.6948,6.8471,112.32,0.000173,,,obs_L2,2,2.705,64.28,0.000174,0.000173
98,4.6952,6.8468,112.31,0.00016,,,obs_L4,4,1.195,-36.86,0.000173,0.00016
99,4.6574,6.939,113.46,0.000169,0.000407,4.9e-05,predict,,,,,
99,4.6574,6.939,113.46,0.000169,,,obs_L1,1,3.238,-178.89,0.000169,0.000169
99,4.6572,6.9388,113.46,0.000168,,,obs_L2,2,2.622,64.95,0.000169,0.000168
99,4.6583,6.9386,113.44,0.000155,,,obs_L4,4,1.041,-40.43,0.000168,0.000155
100,4.6185,7.0303,114.57,0.000165,0.000404,4.9e-05,predict,,,,,
100,4.6187,7.0299,114.58,0.000164,,,obs_L1,1,3.273,-180.49,0.000165,0.000164
100,4.6186,7.0306,114.56,0.000164,,,obs_L2,2,2.581,-293.31,0.000164,0.000164
100,4.6193,7.0302,114.55,0.00015,,,obs_L4,4,1.023,-45.52,0.000164,0.00015
101,4.5777,7.1213,115.7,0.00016,0.000398,5e-05,predict,,,,,
101,4.5777,7.121,115.7,0.000159,,,obs_L1,1,3.402,-181.08,0.00016,0.000159
101,4.5777,7.1225,115.68,0.000159,,,obs_L2,2,2.537,-291.71,0.000159,0.000159
101,4.5776,7.1231,115.68,0.000145,,,obs_L4,4,0.912,-51.46,0.000159,0.000145
102,4.5341,7.2137,116.83,0.000155,0.000388,5e-05,predict,,,,,
102,4.534,7.214,116.83,0.000155,,,obs_L1,1,3.567,-182.11,0.000155,0.000155
102,4.5339,7.2139,116.83,0.000154,,,obs_L2,2,2.532,-292.08,0.000155,0.000154
102,4.5336,7.2143,116.84,0.00014,,,obs_L4,4,0.915,-57.8,0.000154,0.00014
103,4.4887,7.3029,117.97,0.000151,0.000375,5.1e-05,predict,,,,,
103,4.4886,7.3033,117.95,0.00015,,,obs_L1,1,3.683,-182.16,0.000151,0.00015
103,4.4884,7.3023,117.97,0.00015,,,obs_L2,2,2.478,-291.82,0.00015,0.00015
103,4.4898,7.3005,117.95,0.000137,,,obs_L4,4,0.859,-63.0,0.00015,0.000137
104,4.4428,7.3891,119.1,0.000148,0.000359,5.1e-05,predict,,,,,
104,4.4429,7.3887,119.08,0.000148,,,obs_L1,1,3.695,-183.55,0.000148,0.000148
104,4.4431,7.3885,119.09,0.000147,,,obs_L2,2,2.555,-290.33,0.000148,0.000147
104,4.4435,7.3876,119.08,0.000136,,,obs_L4,4,0.854,-70.97,0.000147,0.000136
105,4.3948,7.4752,120.27,0.000147,0.000339,5.2e-05,predict,,,,,
105,4.3948,7.4751,120.27,0.000147,,,obs_L1,1,3.816,-185.63,0.000147,0.000147
105,4.3947,7.4745,120.29,0.000146,,,obs_L2,2,2.41,-289.53,0.000147,0.000146
105,4.3936,7.4768,120.3,0.000137,,,obs_L4,4,0.768,-80.57,0.000146,0.000137
106,4.343,7.5634,121.46,0.000149,0.000319,5.3e-05,predict,,,,,
106,4.343,7.5635,121.47,0.000149,,,obs_L1,1,3.936,-186.96,0.000149,0.000149
106,4.3429,7.5626,121.49,0.000148,,,obs_L2,2,2.42,-288.74,0.000149,0.000148
106,4.343,7.5623,121.49,0.000141,,,obs_L4,4,0.805,-87.7,0.000148,0.000141
107,4.2905,7.648,122.64,0.000153,0.000298,5.4e-05,predict,,,,,
107,4.2907,7.6474,122.64,0.000153,,,obs_L1,1,3.934,-187.29,0.000153,0.000153
107,4.2908,7.647,122.65,0.000153,,,obs_L2,2,2.441,-287.39,0.000153,0.000153
107,4.2904,7.647,122.66,0.000147,,,obs_L4,4,0.876,-96.34,0.000153,0.000147
108,4.2366,7.731,123.81,0.00016,0.000279,5.5e-05,predict,,,,,
108,4.2366,7.7308,123.81,0.00016,,,obs_L1,1,4.097,-188.5,0.00016,0.00016
108,4.2367,7.7311,123.8,0.00016,,,obs_L2,2,2.381,-285.47,0.00016,0.00016
108,4.2361,7.7326,123.81,0.000156,,,obs_L4,4,0.836,-105.3,0.00016,0.000156
109,4.1807,7.8154,124.96,0.00017,0.000264,5.7e-05,predict,,,,,
109,4.1807,7.8154,124.97,0.00017,,,obs_L1,1,4.24,-190.23,0.00017,0.00017
109,4.1806,7.815,124.98,0.000169,,,obs_L2,2,2.323,-284.8,0.00017,0.000169
109,4.181,7.8144,124.97,0.000166,,,obs_L4,4,0.804,-111.82,0.000169,0.000166
110,4.1238,7.8961,126.12,0.000181,0.000252,5.8e-05,predict,,,,,
110,4.1237,7.8965,126.11,0.000181,,,obs_L1,1,4.385,-190.0,0.000181,0.000181
110,4.1234,7.8964,126.11,0.00018,,,obs_L2,2,2.251,-283.21,0.000181,0.00018
110,4.1231,7.8967,126.12,0.000178,,,obs_L4,4,0.944,-119.59,0.00018,0.000178
111,4.0635,7.9784,127.24,0.000194,0.000244,5.9e-05,predict,,,,,
111,4.0632,7.9791,127.24,0.000193,,,obs_L1,1,4.545,-191.03,0.000194,0.000193
111,4.0633,7.979,127.24,0.000193,,,obs_L2,2,2.295,-281.9,0.000193,0.000193
111,4.0632,7.9794,127.24,0.000191,,,obs_L4,4,0.944,-126.22,0.000193,0.000191
112,4.0024,8.0593,128.37,0.000207,0.000239,6e-05,predict,,,,,
112,4.0024,8.0596,128.36,0.000207,,,obs_L1,1,4.562,-191.61,0.000207,0.000207
112,4.0022,8.0588,128.38,0.000206,,,obs_L2,2,2.228,-281.16,0.000207,0.000206
112,4.0027,8.0587,128.37,0.000205,,,obs_L4,4,0.908,-131.63,0.000206,0.000205
113,3.9408,8.1369,129.53,0.000222,0.000238,6.2e-05,predict,,,,,
113,3.9408,8.1364,129.55,0.000222,,,obs_L1,1,4.57,-194.28,0.000222,0.000222
113,3.9409,8.1379,129.51,0.000221,,,obs_L2,2,2.27,-277.61,0.000222,0.000221
113,3.941,8.1375,129.51,0.00022,,,obs_L4,4,1.069,-136.57,0.000221,0.00022
114,3.8773,8.2147,130.64,0.000238,0.000238,6.3e-05,predict,,,,,
114,3.8773,8.2147,130.64,0.000237,,,obs_L1,1,4.726,-193.97,0.000238,0.000237
114,3.8775,8.2148,130.64,0.000236,,,obs_L2,2,2.283,-277.82,0.000237,0.000236
114,3.8775,8.2148,130.64,0.000235,,,obs_L4,4,1.157,-141.43,0.000236,0.000235
115,3.8126,8.2904,131.79,0.000254,0.00024,6.4e-05,predict,,,,,
115,3.8127,8.2903,131.78,0.000254,,,obs_L1,1,4.786,-194.21,0.000254,0.000254
115,3.8127,8.29,131.79,0.000253,,,obs_L2,2,2.218,-276.68,0.000254,0.000253
115,3.8124,8.2906,131.8,0.000251,,,obs_L4,4,1.251,-146.18,0.000253,0.000251
116,3.746,8.3649,132.95,0.000271,0.000244,6.5e-05,predict,,,,,
116,3.746,8.3649,132.95,0.000271,,,obs_L1,1,4.917,-195.63,0.000271,0.000271
116,3.7463,8.3655,132.93,0.000269,,,obs_L2,2,2.272,-274.55,0.000271,0.000269
116,3.7463,8.3652,132.93,0.000268,,,obs_L4,4,1.307,-148.82,0.000269,0.000268
117,3.6782,8.4384,134.07,0.000289,0.000248,6.6e-05,predict,,,,,
117,3.6785,8.439,134.05,0.000287,,,obs_L2,2,2.281,-273.07,0.000289,0.000287
117,3.6784,8.4397,134.06,0.000285,,,obs_L4,4,1.395,-153.28,0.000287,0.000285
118,3.6081,8.5123,135.21,0.000307,0.000254,6.9e-05,predict,,,,,
118,3.6078,8.512,135.22,0.000306,,,obs_L2,2,2.155,-272.12,0.000307,0.000306
118,3.6081,8.512,135.22,0.000304,,,obs_L4,4,1.454,-155.56,0.000306,0.000304
119,3.5378,8.5817,136.37,0.000327,0.000261,7.1e-05,predict,,,,,
119,3.5377,8.5821,136.36,0.000325,,,obs_L2,2,2.21,-270.19,0.000327,0.000325
119,3.5377,8.5819,136.36,0.000323,,,obs_L4,4,1.572,-157.84,0.000325,0.000323
120,3.4656,8.6507,137.51,0.000346,0.000268,7.3e-05,predict,,,,,
120,3.466,8.6498,137.54,0.000344,,,obs_L2,2,2.211,-270.17,0.000346,0.000344
120,3.4663,8.6497,137.53,0.000342,,,obs_L4,4,1.622,-160.62,0.000344,0.000342
121,3.3928,8.717,138.68,0.000366,0.000275,7.5e-05,predict,,,,,
121,3.3923,8.7171,138.68,0.000364,,,obs_L2,2,2.152,-267.25,0.000366,0.000364
121,3.3917,8.717,138.68,0.000361,,,obs_L4,4,1.84,-162.07,0.000364,0.000361
122,3.3164,8.7832,139.83,0.000387,0.000283,7.7e-05,predict,,,,,
122,3.316,8.7841,139.81,0.000385,,,obs_L2,2,2.208,-265.31,0.000387,0.000385
122,3.3159,8.7842,139.81,0.000382,,,obs_L4,4,1.867,-165.02,0.000385,0.000382
123,3.24,8.8483,140.96,0.000408,0.000291,7.9e-05,predict,,,,,
123,3.2399,8.8481,140.96,0.000405,,,obs_L2,2,2.197,-264.91,0.000408,0.000405
123,3.24,8.848,140.96,0.000402,,,obs_L4,4,1.937,-166.64,0.000405,0.000402
124,3.1625,8.9108,142.1,0.000429,0.000299,8.1e-05,predict,,,,,
124,3.1626,8.911,142.1,0.000426,,,obs_L2,2,2.247,-263.34,0.000429,0.000426
124,3.1624,8.9108,142.09,0.000423,,,obs_L4,4,2.075,-167.84,0.000426,0.000423
125,3.0828,8.9728,143.24,0.000451,0.000308,8.3e-05,predict,,,,,
125,3.0834,8.9724,143.25,0.000448,,,obs_L2,2,2.3,-262.81,0.000451,0.000448
125,3.0847,8.9717,143.23,0.000444,,,obs_L4,4,2.024,-169.67,0.000448,0.000444
126,3.0051,9.0312,144.39,0.000472,0.000317,8.5e-05,predict,,,,,
126,3.0048,9.0307,144.4,0.000469,,,obs_L2,2,2.2,-260.73,0.000472,0.000469
126,3.0053,9.0309,144.41,0.000464,,,obs_L4,4,2.192,-172.81,0.000469,0.000464
127,2.9231,9.0898,145.57,0.000494,0.000327,8.7e-05,predict,,,,,
127,2.9229,9.0905,145.55,0.000491,,,obs_L2,2,2.314,-258.84,0.000494,0.000491
127,2.923,9.0909,145.57,0.000486,,,obs_L4,4,2.32,-174.76,0.000491,0.000486
128,2.8411,9.147,146.71,0.000516,0.000337,8.9e-05,predict,,,,,
128,2.8408,9.1471,146.71,0.000512,,,obs_L2,2,2.281,-257.76,0.000516,0.000512
128,2.8416,9.1468,146.7,0.000507,,,obs_L4,4,2.375,-174.59,0.000512,0.000507
129,2.7575,9.2021,147.84,0.000538,0.000348,9.1e-05,predict,,,,,
129,2.7572,9.2024,147.83,0.000534,,,obs_L2,2,2.33,-256.39,0.000538,0.000534
129,2.7571,9.2026,147.84,0.000528,,,obs_L4,4,2.554,-176.61,0.000534,0.000528
130,2.6722,9.256,148.99,0.00056,0.000359,9.3e-05,predict,,,,,
130,2.6725,9.2565,148.98,0.000555,,,obs_L2,2,2.416,-255.59,0.00056,0.000555
130,2.6724,9.2566,148.99,0.00055,,,obs_L4,4,2.646,-177.88,0.000555,0.00055
131,2.5871,9.3079,150.14,0.000582,0.000372,9.4e-05,predict,,,,,
131,2.5873,9.3074,150.15,0.000577,,,obs_L2,2,2.361,-254.82,0.000582,0.000577
131,2.5875,9.3072,150.13,0.000571,,,obs_L4,4,2.739,-177.61,0.000577,0.000571
132,2.5022,9.3562,151.26,0.000603,0.000385,9.6e-05,predict,,,,,
132,2.5025,9.3549,151.29,0.000598,,,obs_L2,2,2.343,-254.1,0.000603,0.000598
132,2.5014,9.3552,151.3,0.000592,,,obs_L4,4,2.921,-179.9,0.000598,0.000592
133,2.4138,9.4032,152.43,0.000625,0.000399,9.8e-05,predict,,,,,
133,2.4132,9.4034,152.43,0.00062,,,obs_L2,2,2.409,-251.48,0.000625,0.00062
133,2.4137,9.4032,152.41,0.000613,,,obs_L4,4,2.917,-179.89,0.00062,0.000613
134,2.3244,9.4499,153.54,0.000646,0.000414,0.0001,predict,,,,,
134,2.3247,9.4501,153.53,0.000641,,,obs_L2,2,2.509,-251.3,0.000646,0.000641
134,2.3231,9.4505,153.55,0.000634,,,obs_L4,4,3.156,-182.4,0.000641,0.000634
135,2.2338,9.495,154.7,0.000667,0.00043,0.000102,predict,,,,,
135,2.2338,9.4955,154.69,0.000662,,,obs_L2,2,2.547,-249.83,0.000667,0.000662
135,2.233,9.4957,154.68,0.000654,,,obs_L4,4,3.213,-182.24,0.000662,0.000654
136,2.142,9.5387,155.81,0.000688,0.000447,0.000104,predict,,,,,
136,2.1423,9.5385,155.82,0.000683,,,obs_L2,2,2.547,-249.47,0.000688,0.000683
136,2.1419,9.5386,155.83,0.000675,,,obs_L4,4,3.27,-184.57,0.000683,0.000675
137,2.0501,9.5798,156.97,0.000709,0.000465,0.000105,predict,,,,,
137,2.0504,9.581,156.95,0.000703,,,obs_L2,2,2.683,-248.03,0.000709,0.000703
137,2.0507,9.581,156.95,0.000695,,,obs_L4,4,3.329,-185.1,0.000703,0.000695
138,1.9591,9.6199,158.1,0.000729,0.000485,0.000107,predict,,,,,
138,1.9594,9.6188,158.12,0.000723,,,obs_L2,2,2.554,-247.78,0.000729,0.000723
138,1.9584,9.619,158.14,0.000714,,,obs_L4,4,3.507,-186.57,0.000723,0.000714
139,1.8655,9.6563,159.28,0.000748,0.000505,0.000109,predict,,,,,
139,1.8651,9.6558,159.28,0.000743,,,obs_L2,2,2.61,-246.08,0.000748,0.000743
139,1.8643,9.656,159.28,0.000734,,,obs_L4,4,3.606,-186.76,0.000743,0.000734
140,1.7708,9.6914,160.42,0.000768,0.000527,0.000111,predict,,,,,
140,1.7713,9.6918,160.42,0.000762,,,obs_L2,2,2.753,-246.02,0.000768,0.000762
140,1.7725,9.6916,160.4,0.000753,,,obs_L4,4,3.574,-187.26,0.000762,0.000753
141,1.6782,9.7252,161.55,0.000786,0.00055,0.000112,predict,,,,,
141,1.6783,9.7249,161.56,0.000781,,,obs_L2,2,2.73,-244.98,0.000786,0.000781
141,1.6774,9.7251,161.56,0.000771,,,obs_L4,4,3.811,-188.73,0.000781,0.000771
142,1.5818,9.757,162.69,0.000805,0.000574,0.000114,predict,,,,,
142,1.5809,9.7578,162.67,0.000799,,,obs_L2,2,2.813,-242.88,0.000805,0.000799
142,1.5815,9.7578,162.65,0.000789,,,obs_L4,4,3.811,-189.43,0.000799,0.000789
143,1.485,9.7879,163.78,0.000823,0.0006,0.000115,predict,,,,,
143,1.485,9.788,163.78,0.000817,,,obs_L2,2,2.838,-243.3,0.000823,0.000817
143,1.4839,9.7881,163.78,0.000807,,,obs_L4,4,4.018,-190.56,0.000817,0.000807
144,1.388,9.8161,164.93,0.00084,0.000626,0.000117,predict,,,,,
144,1.3876,9.8166,164.92,0.000834,,,obs_L2,2,2.909,-242.2,0.00084,0.000834
144,1.3878,9.8165,164.93,0.000824,,,obs_L4,4,4.022,-192.21,0.000834,0.000824
145,1.2911,9.8425,166.07,0.000857,0.000655,0.000118,predict,,,,,
145,1.2921,9.8413,166.1,0.000851,,,obs_L2,2,2.876,-243.35,0.000857,0.000851
145,1.2903,9.8414,166.13,0.00084,,,obs_L4,4,4.241,-193.23,0.000851,0.00084
146,1.1933,9.8653,167.27,0.000872,0.000684,0.00012,predict,,,,,
146,1.1935,9.8651,167.28,0.000867,,,obs_L2,2,2.966,-241.82,0.000872,0.000867
146,1.1934,9.8652,167.27,0.000856,,,obs_L4,4,4.251,-192.98,0.000867,0.000856
147,1.0962,9.8871,168.42,0.000888,0.000715,0.000121,predict,,,,,
147,1.0965,9.8876,168.42,0.000882,,,obs_L2,2,3.068,-241.48,0.000888,0.000882
147,1.0967,9.8876,168.42,0.000871,,,obs_L4,4,4.325,-194.12,0.000882,0.000871
148,0.9986,9.9077,169.56,0.000902,0.000747,0.000123,predict,,,,,
148,0.998,9.9078,169.55,0.000897,,,obs_L2,2,3.062,-239.74,0.000902,0.000897
148,0.9977,9.9079,169.54,0.000885,,,obs_L4,4,4.455,-194.69,0.000897,0.000885
149,0.8989,9.9261,170.69,0.000916,0.00078,0.000124,predict,,,,,
149,0.8985,9.9267,170.68,0.000911,,,obs_L2,2,3.158,-239.53,0.000916,0.000911
149,0.8982,9.9265,170.7,0.000898,,,obs_L4,4,4.536,-196.67,0.000911,0.000898
150,0.7991,9.9427,171.85,0.000929,0.000816,0.000125,predict,,,,,
150,0.7995,9.9429,171.85,0.000924,,,obs_L2,2,3.196,-240.16,0.000929,0.000924
150,0.8001,9.943,171.84,0.000911,,,obs_L4,4,4.596,-196.4,0.000924,0.000911
151,0.7015,9.9571,172.98,0.000941,0.000852,0.000126,predict,,,,,
151,0.7016,9.958,172.97,0.000936,,,obs_L2,2,3.289,-239.39,0.000941,0.000936
151,0.7016,9.9583,172.95,0.000923,,,obs_L4,4,4.734,-196.56,0.000936,0.000923
152,0.602,9.9706,174.1,0.000953,0.00089,0.000128,predict,,,,,
152,0.6009,9.9709,174.08,0.000947,,,obs_L2,2,3.291,-237.55,0.000953,0.000947
152,0.6002,9.9706,174.11,0.000934,,,obs_L4,4,4.842,-199.33,0.000947,0.000934
153,0.5008,9.9808,175.26,0.000963,0.000929,0.000129,predict,,,,,
153,0.5007,9.9814,175.25,0.000958,,,obs_L2,2,3.37,-238.49,0.000963,0.000958
