step,ekf_x,ekf_y,theta_deg,sigma_xx,sigma_yy,sigma_yaw,event,obs_landmark,obs_range_m,obs_bearing_deg,sigma_xx_before,sigma_xx_after
31,2.9183,0.8983,35.79,0.001273,,,obs_L0,0,1.031,49.57,0.001349,0.001273
31,2.9156,0.8997,35.6,0.001157,,,obs_L1,1,4.317,10.6,0.001273,0.001157
32,2.9965,0.9576,36.73,0.001101,0.000925,0.000589,predict,,,,,
32,2.9985,0.9576,36.74,0.001032,,,obs_L0,0,1.087,53.83,0.001101,0.001032
32,2.9995,0.957,36.82,0.000952,,,obs_L1,1,4.31,8.03,0.001032,0.000952
33,3.0799,1.0171,37.98,0.000906,0.000863,0.000517,predict,,,,,
33,3.0804,1.0181,37.98,0.000846,,,obs_L0,0,0.957,56.9,0.000906,0.000846
33,3.0801,1.019,37.92,0.00079,,,obs_L1,1,4.114,8.14,0.000846,0.00079
33,3.0806,1.019,37.94,0.000706,,,obs_L3,3,4.912,-38.26,0.00079,0.000706
34,3.1594,1.0805,39.1,0.000677,0.000801,0.000392,predict,,,,,
34,3.1598,1.0801,39.1,0.000629,,,obs_L0,0,0.968,60.86,0.000677,0.000629
34,3.1587,1.0801,39.02,0.000602,,,obs_L1,1,4.058,7.44,0.000629,0.000602
34,3.1586,1.08,39.0,0.000555,,,obs_L3,3,4.792,-39.56,0.000602,0.000555
35,3.2365,1.143,40.13,0.000536,0.000738,0.000317,predict,,,,,
35,3.2358,1.1418,40.15,0.000498,,,obs_L0,0,0.917,64.92,0.000536,0.000498
35,3.2365,1.1418,40.21,0.000482,,,obs_L1,1,3.993,5.08,0.000498,0.000482
35,3.236,1.1418,40.2,0.000454,,,obs_L3,3,4.816,-41.94,0.000482,0.000454
36,3.3125,1.2065,41.36,0.000441,0.000674,0.000267,predict,,,,,
36,3.3133,1.2081,41.34,0.000412,,,obs_L0,0,0.824,70.67,0.000441,0.000412
36,3.3142,1.2087,41.41,0.000403,,,obs_L1,1,3.842,4.0,0.000412,0.000403
36,3.3142,1.2084,41.38,0.000384,,,obs_L3,3,4.618,-43.44,0.000403,0.000384
37,3.3892,1.2745,42.55,0.000376,0.000609,0.00023,predict,,,,,
