step,gt_x,gt_y,odom_x,odom_y,ekf_x,ekf_y,rl_x,rl_y,odom_error_m,ekf_error_m,rl_error_m
239,-4.9418,4.7119,-4.9874,4.5462,-4.9551,4.7162,-4.9464,4.6959,0.17185,0.01398,0.01667
240,-4.935,4.6122,-4.9786,4.4312,-4.9484,4.6149,-4.9395,4.5954,0.18614,0.01365,0.0173
241,-4.9263,4.5125,-4.9688,4.3323,-4.9397,4.5154,-4.9306,4.4954,0.18517,0.01372,0.01772
242,-4.9155,4.4131,-4.958,4.241,-4.9292,4.4167,-4.9198,4.396,0.17732,0.01412,0.01767
243,-4.9028,4.3139,-4.9449,4.1457,-4.9166,4.3179,-4.907,4.2968,0.17346,0.01434,0.01761
244,-4.8881,4.215,-4.93,4.05,-4.9021,4.2193,-4.8923,4.1982,0.17022,0.01463,0.01735
245,-4.8714,4.1164,-4.9114,3.9432,-4.8854,4.1198,-4.8755,4.0994,0.17777,0.01438,0.01747
246,-4.8528,4.0182,-4.8922,3.8451,-4.8669,4.0216,-4.8568,4.001,0.17748,0.01453,0.01765
247,-4.8322,3.9203,-4.8705,3.7471,-4.8464,3.9237,-4.8361,3.9031,0.17744,0.01463,0.01767
248,-4.8096,3.8229,-4.8455,3.6424,-4.8238,3.8255,-4.8134,3.8055,0.184,0.01444,0.01783
249,-4.7851,3.726,-4.8214,3.5507,-4.7995,3.729,-4.7888,3.7084,0.17897,0.01473,0.0179
250,-4.7586,3.6295,-4.7954,3.4587,-4.7733,3.6329,-4.7623,3.6121,0.17471,0.01504,0.01775
251,-4.7303,3.5336,-4.7651,3.3585,-4.7449,3.5366,-4.7338,3.5161,0.17851,0.01492,0.01785
252,-4.7,3.4383,-4.7362,3.2702,-4.7149,3.4419,-4.7035,3.4211,0.17199,0.01532,0.01758
253,-4.6678,3.3436,-4.7041,3.1789,-4.683,3.3475,-4.6713,3.3266,0.16867,0.01566,0.01739
254,-4.6338,3.2496,-4.6701,3.088,-4.6491,3.2537,-4.6373,3.2329,0.16567,0.01588,0.01704
255,-4.5978,3.1563,-4.6334,2.9947,-4.6133,3.1603,-4.6013,3.1399,0.16544,0.01599,0.0168
256,-4.56,3.0637,-4.5945,2.9011,-4.5755,3.0676,-4.5635,3.0474,0.16621,0.01596,0.01672
257,-4.5204,2.9719,-4.5548,2.8107,-4.5361,2.9758,-4.5238,2.9557,0.16489,0.0162,0.01661
258,-4.4789,2.8809,-4.5141,2.7225,-4.4949,2.885,-4.4824,2.8649,0.16233,0.01651,0.01637
259,-4.4356,2.7908,-4.4693,2.6303,-4.4516,2.7946,-4.4391,2.7748,0.16395,0.01643,0.01632
260,-4.3906,2.7015,-4.4236,2.5408,-4.4067,2.7052,-4.394,2.6856,0.1641,0.01657,0.0163
261,-4.3437,2.6132,-4.3803,2.46,-4.3603,2.6175,-4.3472,2.5975,0.15744,0.01716,0.01606
262,-4.2951,2.5258,-4.3327,2.3758,-4.312,2.5304,-4.2987,2.5104,0.15459,0.01753,0.01577
263,-4.2447,2.4394,-4.2837,2.2931,-4.2619,2.4442,-4.2484,2.4243,0.15137,0.01782,0.0155
264,-4.1927,2.354,-4.2355,2.2148,-4.2104,2.3595,-4.1966,2.3394,0.14559,0.01856,0.01507
265,-4.1389,2.2697,-4.1807,2.1296,-4.1567,2.2749,-4.143,2.2554,0.14613,0.01854,0.01481
266,-4.0835,2.1864,-4.1233,2.0439,-4.1013,2.1914,-4.0876,2.1723,0.14802,0.0185,0.01472
267,-4.0264,2.1043,-4.0665,1.962,-4.0444,2.1092,-4.0306,2.0903,0.1479,0.01866,0.01465
268,-3.9677,2.0234,-4.01,1.8835,-3.986,2.0283,-3.972,2.0095,0.14618,0.01898,0.01455
269,-3.9073,1.9436,-3.9525,1.807,-3.9262,1.9488,-3.9118,1.9299,0.14396,0.01955,0.01443
270,-3.8454,1.8651,-3.8879,1.7242,-3.8641,1.8697,-3.8499,1.8513,0.14716,0.01923,0.01451
271,-3.782,1.7878,-3.8222,1.6433,-3.8006,1.792,-3.7864,1.7739,0.14999,0.0191,0.01465
272,-3.717,1.7118,-3.7561,1.5648,-3.7356,1.7156,-3.7213,1.6977,0.15213,0.01902,0.0148
273,-3.6504,1.6372,-3.6981,1.4991,-3.6701,1.6417,-3.6551,1.6232,0.14605,0.02017,0.01468
274,-3.5825,1.5638,-3.6286,1.4232,-3.6021,1.5679,-3.5872,1.5499,0.14801,0.02006,0.01471
275,-3.513,1.4919,-3.5584,1.3494,-3.5328,1.4957,-3.5178,1.4779,0.14949,0.02015,0.01477
276,-3.4422,1.4213,-3.4878,1.278,-3.4621,1.4249,-3.4469,1.4072,0.1504,0.02027,0.01491
277,-3.3699,1.3522,-3.4119,1.2042,-3.3896,1.3552,-3.3746,1.3379,0.15383,0.01994,0.01507
278,-3.2963,1.2845,-3.3376,1.1348,-3.316,1.2872,-3.3008,1.27,0.1553,0.01992,0.01524
279,-3.2213,1.2184,-3.265,1.0696,-3.2414,1.2209,-3.2259,1.2037,0.155,0.02027,0.01536
280,-3.145,1.1537,-3.1878,1.003,-3.1652,1.1559,-3.1496,1.1389,0.15669,0.02031,0.01548
281,-3.0674,1.0906,-3.1098,0.9381,-3.0877,1.0925,-3.072,1.0756,0.15823,0.02034,0.01563
282,-2.9886,1.029,-3.028,0.8734,-3.0087,1.0304,-2.993,1.0138,0.16053,0.0201,0.01582
283,-2.9086,0.969,-2.9436,0.8092,-2.9284,0.9699,-2.9126,0.9535,0.1636,0.01979,0.01607
284,-2.8274,0.9107,-2.8711,0.7562,-2.8481,0.9119,-2.8316,0.8951,0.16047,0.02071,0.0161
285,-2.7451,0.8539,-2.7969,0.7041,-2.7667,0.8555,-2.7496,0.8385,0.15855,0.02168,0.01608
286,-2.6616,0.7989,-2.7139,0.6481,-2.6834,0.8001,-2.6664,0.7835,0.15958,0.02183,0.01608
287,-2.577,0.7455,-2.6284,0.5933,-2.5989,0.7464,-2.582,0.7301,0.16065,0.02187,0.01613
288,-2.4914,0.6938,-2.5396,0.5388,-2.5131,0.6943,-2.4964,0.6784,0.16235,0.02167,0.01622
289,-2.4048,0.6438,-2.4526,0.4872,-2.4265,0.644,-2.4098,0.6283,0.16378,0.02169,0.01632
290,-2.3172,0.5956,-2.3719,0.4417,-2.3397,0.5959,-2.3223,0.58,0.16336,0.02249,0.0164
291,-2.2287,0.5492,-2.2823,0.3937,-2.2511,0.5491,-2.2339,0.5335,0.16442,0.02244,0.01647
292,-2.1392,0.5045,-2.1904,0.3468,-2.1615,0.504,-2.1445,0.4888,0.16576,0.02231,0.01654
293,-2.0489,0.4616,-2.0994,0.3031,-2.0712,0.4609,-2.0541,0.4458,0.16632,0.02236,0.0166
294,-1.9577,0.4205,-2.0105,0.2627,-1.9803,0.4197,-1.9629,0.4047,0.16644,0.02264,0.01665
295,-1.8657,0.3813,-1.9149,0.2213,-1.888,0.38,-1.8708,0.3654,0.1674,0.02234,0.01672
296,-1.7729,0.3439,-1.8221,0.1831,-1.7954,0.3424,-1.7781,0.3279,0.16815,0.0225,0.01679
297,-1.6795,0.3084,-1.7267,0.1459,-1.7182,0.3031,-1.6845,0.2923,0.16917,0.03909,0.01687
298,-1.5853,0.2747,-1.6279,0.1098,-1.6081,0.2755,-1.59,0.2584,0.17035,0.02281,0.01698
299,-1.4905,0.243,-1.5346,0.0777,-1.5053,0.2401,-1.495,0.2265,0.1711,0.0151,0.01707
300,-1.395,0.2131,-1.4416,0.0475,-1.4247,0.2045,-1.3996,0.1966,0.17205,0.03089,0.01717
